enota,leto,spremenljivka,vrednost
344,2005,Capital city population (as a percentage of total population),100.0
344,2005,Capital city population (as a percentage of total urban population),100.0
344,2010,Urban population (percent),100.0
344,2010,Urban population (percent growth rate per annum),0.6
344,2010,Rural population (percent growth rate per annum),0.0
344,2010,Capital city population (thousands),"7,025"
344,2010,Capital city population (as a percentage of total population),100.0
344,2010,Capital city population (as a percentage of total urban population),100.0
344,2015,Urban population (percent),100.0
344,2015,Urban population (percent growth rate per annum),0.6
344,2015,Rural population (percent growth rate per annum),0.0
344,2015,Capital city population (thousands),"7,246"
344,2015,Capital city population (as a percentage of total population),100.0
344,2015,Capital city population (as a percentage of total urban population),100.0
344,2018,Urban population (percent),100.0
344,2018,Capital city population (thousands),"7,429"
446,2005,Urban population (percent),100.0
446,2005,Urban population (percent growth rate per annum),2.4
446,2005,Rural population (percent growth rate per annum),0.0
446,2005,Capital city population (thousands),483
446,2005,Capital city population (as a percentage of total population),100.0
446,2005,Capital city population (as a percentage of total urban population),100.0
446,2010,Urban population (percent),100.0
446,2010,Urban population (percent growth rate per annum),2.1
446,2010,Rural population (percent growth rate per annum),0.0
446,2010,Capital city population (thousands),537
446,2010,Capital city population (as a percentage of total population),100.0
446,2010,Capital city population (as a percentage of total urban population),100.0
446,2015,Urban population (percent),100.0
446,2015,Urban population (percent growth rate per annum),2.3
446,2015,Rural population (percent growth rate per annum),0.0
446,2015,Capital city population (thousands),601
446,2015,Capital city population (as a percentage of total population),100.0
446,2015,Capital city population (as a percentage of total urban population),100.0
446,2018,Urban population (percent),100.0
446,2018,Capital city population (thousands),632
170,2005,Urban population (percent),76.0
170,2005,Urban population (percent growth rate per annum),1.9
170,2005,Rural population (percent growth rate per annum),-0.3
170,2005,Capital city population (thousands),"7,299"
170,2005,Capital city population (as a percentage of total population),16.9
170,2005,Capital city population (as a percentage of total urban population),22.2
170,2010,Urban population (percent),78.0
170,2010,Urban population (percent growth rate per annum),1.7
170,2010,Rural population (percent growth rate per annum),-0.5
170,2010,Capital city population (thousands),"8,418"
170,2010,Capital city population (as a percentage of total population),18.3
170,2010,Capital city population (as a percentage of total urban population),23.5
170,2015,Urban population (percent),79.8
170,2015,Urban population (percent growth rate per annum),1.4
170,2015,Rural population (percent growth rate per annum),-0.7
170,2015,Capital city population (thousands),"9,708"
170,2015,Capital city population (as a percentage of total population),20.1
170,2015,Capital city population (as a percentage of total urban population),25.2
170,2018,Urban population (percent),80.8
170,2018,Capital city population (thousands),"10,574"
174,2005,Urban population (percent),27.9
174,2005,Urban population (percent growth rate per annum),2.3
174,2005,Rural population (percent growth rate per annum),2.5
174,2010,Urban population (percent),28.0
174,2010,Urban population (percent growth rate per annum),2.5
174,2010,Rural population (percent growth rate per annum),2.4
174,2015,Urban population (percent),28.5
174,2015,Urban population (percent growth rate per annum),2.7
174,2015,Rural population (percent growth rate per annum),2.3
174,2018,Urban population (percent),29.0
174,2018,Capital city population (thousands),62
178,2005,Urban population (percent),61.0
178,2005,Urban population (percent growth rate per annum),3.6
178,2005,Rural population (percent growth rate per annum),1.7
178,2005,Capital city population (thousands),"1,269"
178,2005,Capital city population (as a percentage of total population),34.1
178,2005,Capital city population (as a percentage of total urban population),56.0
178,2010,Urban population (percent),63.3
178,2010,Urban population (percent growth rate per annum),4.0
178,2010,Rural population (percent growth rate per annum),2.1
178,2010,Capital city population (thousands),"1,576"
178,2010,Capital city population (as a percentage of total population),35.9
178,2010,Capital city population (as a percentage of total urban population),56.8
178,2015,Urban population (percent),65.5
178,2015,Urban population (percent growth rate per annum),3.3
178,2015,Rural population (percent growth rate per annum),1.3
178,2015,Capital city population (thousands),"1,958"
178,2015,Capital city population (as a percentage of total population),39.2
178,2015,Capital city population (as a percentage of total urban population),59.8
178,2018,Urban population (percent),66.9
178,2018,Capital city population (thousands),"2,230"
184,2005,Urban population (percent),71.0
184,2005,Urban population (percent growth rate per annum),3.4
184,2005,Rural population (percent growth rate per annum),-2.0
184,2010,Urban population (percent),73.3
184,2010,Urban population (percent growth rate per annum),-0.6
184,2010,Rural population (percent growth rate per annum),-2.8
184,2015,Urban population (percent),74.4
184,2015,Urban population (percent growth rate per annum),-0.9
184,2015,Rural population (percent growth rate per annum),-2.1
184,2018,Urban population (percent),75.1
184,2018,Capital city population (thousands),13
188,2005,Urban population (percent),65.7
188,2005,Urban population (percent growth rate per annum),3.7
188,2005,Rural population (percent growth rate per annum),-1.9
188,2005,Capital city population (thousands),"1,114"
188,2005,Capital city population (as a percentage of total population),26.2
188,2005,Capital city population (as a percentage of total urban population),39.9
188,2010,Urban population (percent),71.7
188,2010,Urban population (percent growth rate per annum),3.1
188,2010,Rural population (percent growth rate per annum),-2.5
188,2010,Capital city population (thousands),"1,202"
188,2010,Capital city population (as a percentage of total population),26.4
188,2010,Capital city population (as a percentage of total urban population),36.9
188,2015,Urban population (percent),76.9
188,2015,Urban population (percent growth rate per annum),2.5
188,2015,Rural population (percent growth rate per annum),-2.9
188,2015,Capital city population (thousands),"1,297"
188,2015,Capital city population (as a percentage of total population),27.0
188,2015,Capital city population (as a percentage of total urban population),35.1
188,2018,Urban population (percent),79.3
188,2018,Capital city population (thousands),"1,358"
384,2005,Urban population (percent),45.2
384,2005,Urban population (percent growth rate per annum),2.8
384,2005,Rural population (percent growth rate per annum),1.1
384,2010,Urban population (percent),47.3
384,2010,Urban population (percent growth rate per annum),3.0
384,2010,Rural population (percent growth rate per annum),1.4
384,2015,Urban population (percent),49.4
384,2015,Urban population (percent growth rate per annum),3.4
384,2015,Rural population (percent growth rate per annum),1.7
384,2018,Urban population (percent),50.8
384,2018,Capital city population (thousands),231
191,2005,Urban population (percent),54.3
191,2005,Urban population (percent growth rate per annum),0.1
191,2005,Rural population (percent growth rate per annum),-0.6
191,2005,Capital city population (thousands),690
191,2005,Capital city population (as a percentage of total population),15.8
191,2005,Capital city population (as a percentage of total urban population),29.0
191,2010,Urban population (percent),55.2
191,2010,Urban population (percent growth rate per annum),0.1
191,2010,Rural population (percent growth rate per annum),-0.6
191,2010,Capital city population (thousands),688
191,2010,Capital city population (as a percentage of total population),15.9
191,2010,Capital city population (as a percentage of total urban population),28.8
191,2015,Urban population (percent),56.2
191,2015,Urban population (percent growth rate per annum),-0.1
191,2015,Rural population (percent growth rate per annum),-0.9
191,2015,Capital city population (thousands),687
191,2015,Capital city population (as a percentage of total population),16.2
191,2015,Capital city population (as a percentage of total urban population),28.9
191,2018,Urban population (percent),56.9
191,2018,Capital city population (thousands),686
192,2005,Urban population (percent),76.1
192,2005,Urban population (percent growth rate per annum),0.5
192,2005,Rural population (percent growth rate per annum),-0.4
192,2005,Capital city population (thousands),"2,180"
192,2005,Capital city population (as a percentage of total population),19.3
192,2005,Capital city population (as a percentage of total urban population),25.4
192,2010,Urban population (percent),76.6
192,2010,Urban population (percent growth rate per annum),0.2
192,2010,Rural population (percent growth rate per annum),-0.3
192,2010,Capital city population (thousands),"2,143"
192,2010,Capital city population (as a percentage of total population),18.9
192,2010,Capital city population (as a percentage of total urban population),24.7
192,2015,Urban population (percent),76.9
192,2015,Urban population (percent growth rate per annum),0.3
192,2015,Rural population (percent growth rate per annum),0.0
192,2015,Capital city population (thousands),"2,124"
192,2015,Capital city population (as a percentage of total population),18.5
192,2015,Capital city population (as a percentage of total urban population),24.1
192,2018,Urban population (percent),77.0
192,2018,Capital city population (thousands),"2,136"
531,2005,Urban population (percent),90.5
531,2005,Urban population (percent growth rate per annum),-0.5
531,2005,Rural population (percent growth rate per annum),0.1
531,2010,Urban population (percent),89.9
531,2010,Urban population (percent growth rate per annum),2.5
531,2010,Rural population (percent growth rate per annum),3.9
531,2015,Urban population (percent),89.4
531,2015,Urban population (percent growth rate per annum),1.2
531,2015,Rural population (percent growth rate per annum),2.4
531,2018,Urban population (percent),89.1
531,2018,Capital city population (thousands),144
196,2005,Urban population (percent),68.3
196,2005,Urban population (percent growth rate per annum),1.6
196,2005,Rural population (percent growth rate per annum),2.0
196,2010,Urban population (percent),67.6
196,2010,Urban population (percent growth rate per annum),1.4
196,2010,Rural population (percent growth rate per annum),2.0
196,2015,Urban population (percent),66.9
196,2015,Urban population (percent growth rate per annum),0.7
196,2015,Rural population (percent growth rate per annum),1.2
196,2018,Urban population (percent),66.8
196,2018,Capital city population (thousands),269
203,2005,Urban population (percent),73.6
203,2005,Urban population (percent growth rate per annum),-0.2
203,2005,Rural population (percent growth rate per annum),0.2
203,2005,Capital city population (thousands),"1,199"
203,2005,Capital city population (as a percentage of total population),11.7
203,2005,Capital city population (as a percentage of total urban population),15.9
203,2010,Urban population (percent),73.3
203,2010,Urban population (percent growth rate per annum),0.4
203,2010,Rural population (percent growth rate per annum),0.8
203,2010,Capital city population (thousands),"1,234"
203,2010,Capital city population (as a percentage of total population),11.7
203,2010,Capital city population (as a percentage of total urban population),16.0
203,2015,Urban population (percent),73.5
203,2015,Urban population (percent growth rate per annum),0.2
203,2015,Rural population (percent growth rate per annum),0.0
203,2015,Capital city population (thousands),"1,269"
203,2015,Capital city population (as a percentage of total population),12.0
203,2015,Capital city population (as a percentage of total urban population),16.3
203,2018,Urban population (percent),73.8
203,2018,Capital city population (thousands),"1,292"
408,2005,Urban population (percent),59.8
408,2005,Urban population (percent growth rate per annum),1.0
408,2005,Rural population (percent growth rate per annum),0.6
408,2005,Capital city population (thousands),"2,805"
408,2005,Capital city population (as a percentage of total population),11.7
408,2005,Capital city population (as a percentage of total urban population),19.6
408,2010,Urban population (percent),60.4
408,2010,Urban population (percent growth rate per annum),0.8
408,2010,Rural population (percent growth rate per annum),0.3
408,2010,Capital city population (thousands),"2,861"
408,2010,Capital city population (as a percentage of total population),11.6
408,2010,Capital city population (as a percentage of total urban population),19.3
408,2015,Urban population (percent),61.3
408,2015,Urban population (percent growth rate per annum),0.8
408,2015,Rural population (percent growth rate per annum),0.1
408,2015,Capital city population (thousands),"2,970"
408,2015,Capital city population (as a percentage of total population),11.8
408,2015,Capital city population (as a percentage of total urban population),19.2
408,2018,Urban population (percent),61.9
408,2018,Capital city population (thousands),"3,038"
180,2005,Urban population (percent),37.5
180,2005,Urban population (percent growth rate per annum),4.3
180,2005,Rural population (percent growth rate per annum),2.3
180,2005,Capital city population (thousands),"7,589"
180,2005,Capital city population (as a percentage of total population),13.9
180,2005,Capital city population (as a percentage of total urban population),37.0
180,2010,Urban population (percent),40.0
180,2010,Urban population (percent growth rate per annum),4.6
180,2010,Rural population (percent growth rate per annum),2.5
180,2010,Capital city population (thousands),"9,382"
180,2010,Capital city population (as a percentage of total population),14.5
180,2010,Capital city population (as a percentage of total urban population),36.3
180,2015,Urban population (percent),42.7
180,2015,Urban population (percent growth rate per annum),4.6
180,2015,Rural population (percent growth rate per annum),2.4
180,2015,Capital city population (thousands),"11,598"
180,2015,Capital city population (as a percentage of total population),15.2
180,2015,Capital city population (as a percentage of total urban population),35.6
180,2018,Urban population (percent),44.5
180,2018,Capital city population (thousands),"13,171"
208,2005,Urban population (percent),85.9
208,2005,Urban population (percent growth rate per annum),0.5
208,2005,Rural population (percent growth rate per annum),-0.7
208,2005,Capital city population (thousands),"1,127"
208,2005,Capital city population (as a percentage of total population),20.8
208,2005,Capital city population (as a percentage of total urban population),24.2
208,2010,Urban population (percent),86.8
208,2010,Urban population (percent growth rate per annum),0.7
208,2010,Rural population (percent growth rate per annum),-0.9
208,2010,Capital city population (thousands),"1,192"
208,2010,Capital city population (as a percentage of total population),21.5
208,2010,Capital city population (as a percentage of total urban population),24.7
208,2015,Urban population (percent),87.5
208,2015,Urban population (percent growth rate per annum),0.6
208,2015,Rural population (percent growth rate per annum),-0.7
208,2015,Capital city population (thousands),"1,271"
208,2015,Capital city population (as a percentage of total population),22.3
208,2015,Capital city population (as a percentage of total urban population),25.5
208,2018,Urban population (percent),87.9
208,2018,Capital city population (thousands),"1,321"
262,2005,Urban population (percent),76.8
262,2005,Urban population (percent growth rate per annum),1.8
262,2005,Rural population (percent growth rate per annum),1.6
262,2005,Capital city population (thousands),442
262,2005,Capital city population (as a percentage of total population),56.5
262,2005,Capital city population (as a percentage of total urban population),73.6
262,2010,Urban population (percent),77.0
262,2010,Urban population (percent growth rate per annum),1.7
262,2010,Rural population (percent growth rate per annum),1.5
262,2010,Capital city population (thousands),485
262,2010,Capital city population (as a percentage of total population),57.0
262,2010,Capital city population (as a percentage of total urban population),74.0
262,2015,Urban population (percent),77.4
262,2015,Urban population (percent growth rate per annum),1.8
262,2015,Rural population (percent growth rate per annum),1.4
262,2015,Capital city population (thousands),531
262,2015,Capital city population (as a percentage of total population),57.3
262,2015,Capital city population (as a percentage of total urban population),74.0
262,2018,Urban population (percent),77.8
262,2018,Capital city population (thousands),562
212,2005,Urban population (percent),66.6
212,2005,Urban population (percent growth rate per annum),0.7
212,2005,Rural population (percent growth rate per annum),-0.5
212,2010,Urban population (percent),68.1
212,2010,Urban population (percent growth rate per annum),0.7
212,2010,Rural population (percent growth rate per annum),-0.7
212,2015,Urban population (percent),69.6
212,2015,Urban population (percent growth rate per annum),0.9
212,2015,Rural population (percent growth rate per annum),-0.5
212,2018,Urban population (percent),70.5
212,2018,Capital city population (thousands),15
214,2005,Urban population (percent),67.4
214,2005,Urban population (percent growth rate per annum),3.3
214,2005,Rural population (percent growth rate per annum),-1.7
214,2005,Capital city population (thousands),"2,297"
214,2005,Capital city population (as a percentage of total population),24.9
214,2005,Capital city population (as a percentage of total urban population),36.9
214,2010,Urban population (percent),73.8
214,2010,Urban population (percent growth rate per annum),3.2
214,2010,Rural population (percent growth rate per annum),-3.0
214,2010,Capital city population (thousands),"2,601"
214,2010,Capital city population (as a percentage of total population),26.3
214,2010,Capital city population (as a percentage of total urban population),35.6
214,2015,Urban population (percent),78.6
214,2015,Urban population (percent growth rate per annum),2.5
214,2015,Rural population (percent growth rate per annum),-2.8
214,2015,Capital city population (thousands),"2,945"
214,2015,Capital city population (as a percentage of total population),28.0
214,2015,Capital city population (as a percentage of total urban population),35.6
214,2018,Urban population (percent),81.1
214,2018,Capital city population (thousands),"3,172"
218,2005,Urban population (percent),61.7
218,2005,Urban population (percent growth rate per annum),2.1
218,2005,Rural population (percent growth rate per annum),1.0
218,2005,Capital city population (thousands),"1,479"
218,2005,Capital city population (as a percentage of total population),10.8
218,2005,Capital city population (as a percentage of total urban population),17.5
218,2010,Urban population (percent),62.7
218,2010,Urban population (percent growth rate per annum),2.0
218,2010,Rural population (percent growth rate per annum),1.2
218,2010,Capital city population (thousands),"1,598"
218,2010,Capital city population (as a percentage of total population),10.7
218,2010,Capital city population (as a percentage of total urban population),17.1
218,2015,Urban population (percent),63.4
218,2015,Urban population (percent growth rate per annum),1.8
218,2015,Rural population (percent growth rate per annum),1.2
218,2015,Capital city population (thousands),"1,734"
218,2015,Capital city population (as a percentage of total population),10.7
218,2015,Capital city population (as a percentage of total urban population),16.9
218,2018,Urban population (percent),63.8
218,2018,Capital city population (thousands),"1,822"
818,2005,Urban population (percent),43.0
818,2005,Urban population (percent growth rate per annum),2.0
818,2005,Rural population (percent growth rate per annum),1.8
818,2005,Capital city population (thousands),"15,174"
818,2005,Capital city population (as a percentage of total population),19.8
818,2005,Capital city population (as a percentage of total urban population),45.9
818,2010,Urban population (percent),43.0
818,2010,Urban population (percent growth rate per annum),1.8
818,2010,Rural population (percent growth rate per annum),1.8
818,2010,Capital city population (thousands),"16,899"
818,2010,Capital city population (as a percentage of total population),20.1
818,2010,Capital city population (as a percentage of total urban population),46.7
818,2015,Urban population (percent),42.8
818,2015,Urban population (percent growth rate per annum),2.1
818,2015,Rural population (percent growth rate per annum),2.3
818,2015,Capital city population (thousands),"18,820"
818,2015,Capital city population (as a percentage of total population),20.1
818,2015,Capital city population (as a percentage of total urban population),46.9
818,2018,Urban population (percent),42.7
818,2018,Capital city population (thousands),"20,076"
222,2005,Urban population (percent),61.6
222,2005,Urban population (percent growth rate per annum),1.5
222,2005,Rural population (percent growth rate per annum),-0.8
222,2005,Capital city population (thousands),"1,074"
222,2005,Capital city population (as a percentage of total population),17.8
222,2005,Capital city population (as a percentage of total urban population),28.9
222,2010,Urban population (percent),65.5
222,2010,Urban population (percent growth rate per annum),1.6
222,2010,Rural population (percent growth rate per annum),-1.6
222,2010,Capital city population (thousands),"1,086"
222,2010,Capital city population (as a percentage of total population),17.6
222,2010,Capital city population (as a percentage of total urban population),26.9
222,2015,Urban population (percent),69.7
222,2015,Urban population (percent growth rate per annum),1.7
222,2015,Rural population (percent growth rate per annum),-2.1
222,2015,Capital city population (thousands),"1,099"
222,2015,Capital city population (as a percentage of total population),17.4
222,2015,Capital city population (as a percentage of total urban population),25.0
222,2018,Urban population (percent),72.0
222,2018,Capital city population (thousands),"1,107"
226,2005,Urban population (percent),57.7
226,2005,Urban population (percent growth rate per annum),7.4
226,2005,Rural population (percent growth rate per annum),0.5
226,2010,Urban population (percent),65.9
226,2010,Urban population (percent growth rate per annum),7.2
226,2010,Rural population (percent growth rate per annum),0.2
226,2015,Urban population (percent),70.6
226,2015,Urban population (percent growth rate per annum),5.6
226,2015,Rural population (percent growth rate per annum),1.3
226,2018,Urban population (percent),72.1
226,2018,Capital city population (thousands),297
232,2005,Urban population (percent),31.1
232,2005,Urban population (percent growth rate per annum),6.3
232,2005,Rural population (percent growth rate per annum),1.9
232,2005,Capital city population (thousands),558
232,2005,Capital city population (as a percentage of total population),14.1
232,2005,Capital city population (as a percentage of total urban population),45.2
232,2010,Urban population (percent),35.2
232,2010,Urban population (percent growth rate per annum),4.5
232,2010,Rural population (percent growth rate per annum),0.8
232,2010,Capital city population (thousands),670
232,2010,Capital city population (as a percentage of total population),15.3
232,2010,Capital city population (as a percentage of total urban population),43.4
232,2015,Urban population (percent),38.2
232,2015,Urban population (percent growth rate per annum),3.6
232,2015,Rural population (percent growth rate per annum),1.0
232,2015,Capital city population (thousands),803
232,2015,Capital city population (as a percentage of total population),16.6
232,2015,Capital city population (as a percentage of total urban population),43.4
232,2018,Urban population (percent),40.1
232,2018,Capital city population (thousands),896
233,2005,Urban population (percent),68.7
233,2005,Urban population (percent growth rate per annum),-0.8
233,2005,Rural population (percent growth rate per annum),-0.2
233,2005,Capital city population (thousands),397
233,2005,Capital city population (as a percentage of total population),29.3
233,2005,Capital city population (as a percentage of total urban population),42.6
233,2010,Urban population (percent),68.1
233,2010,Urban population (percent growth rate per annum),-0.5
233,2010,Rural population (percent growth rate per annum),0.1
233,2010,Capital city population (thousands),394
233,2010,Capital city population (as a percentage of total population),29.6
233,2010,Capital city population (as a percentage of total urban population),43.5
233,2015,Urban population (percent),68.4
233,2015,Urban population (percent growth rate per annum),-0.2
233,2015,Rural population (percent growth rate per annum),-0.5
233,2015,Capital city population (thousands),416
233,2015,Capital city population (as a percentage of total population),31.6
233,2015,Capital city population (as a percentage of total urban population),46.3
233,2018,Urban population (percent),68.9
233,2018,Capital city population (thousands),437
748,2005,Urban population (percent),22.0
748,2005,Urban population (percent growth rate per annum),0.2
748,2005,Rural population (percent growth rate per annum),1.0
748,2010,Urban population (percent),22.5
748,2010,Urban population (percent growth rate per annum),2.1
748,2010,Rural population (percent growth rate per annum),1.6
748,2015,Urban population (percent),23.3
748,2015,Urban population (percent growth rate per annum),2.6
748,2015,Rural population (percent growth rate per annum),1.6
748,2018,Urban population (percent),23.8
748,2018,Capital city population (thousands),68
231,2005,Urban population (percent),15.7
231,2005,Urban population (percent growth rate per annum),4.1
231,2005,Rural population (percent growth rate per annum),2.6
231,2005,Capital city population (thousands),"2,634"
231,2005,Capital city population (as a percentage of total population),3.4
231,2005,Capital city population (as a percentage of total urban population),21.9
231,2010,Urban population (percent),17.3
231,2010,Urban population (percent growth rate per annum),4.6
231,2010,Rural population (percent growth rate per annum),2.3
231,2010,Capital city population (thousands),"3,126"
231,2010,Capital city population (as a percentage of total population),3.6
231,2010,Capital city population (as a percentage of total urban population),20.6
231,2015,Urban population (percent),19.4
231,2015,Urban population (percent growth rate per annum),4.9
231,2015,Rural population (percent growth rate per annum),2.1
231,2015,Capital city population (thousands),"3,871"
231,2015,Capital city population (as a percentage of total population),3.9
231,2015,Capital city population (as a percentage of total urban population),19.9
231,2018,Urban population (percent),20.8
231,2018,Capital city population (thousands),"4,400"
238,2005,Urban population (percent),70.8
238,2005,Urban population (percent growth rate per annum),1.3
238,2005,Rural population (percent growth rate per annum),-1.7
238,2010,Urban population (percent),73.7
238,2010,Urban population (percent growth rate per annum),0.2
238,2010,Rural population (percent growth rate per annum),-2.6
238,2015,Urban population (percent),76.3
238,2015,Urban population (percent growth rate per annum),1.0
238,2015,Rural population (percent growth rate per annum),-1.8
238,2018,Urban population (percent),77.7
238,2018,Capital city population (thousands),2
234,2005,Urban population (percent),39.8
234,2005,Urban population (percent growth rate per annum),2.2
234,2005,Rural population (percent growth rate per annum),-0.7
234,2010,Urban population (percent),40.9
234,2010,Urban population (percent growth rate per annum),0.7
234,2010,Rural population (percent growth rate per annum),-0.3
234,2015,Urban population (percent),41.6
234,2015,Urban population (percent growth rate per annum),0.5
234,2015,Rural population (percent growth rate per annum),-0.1
234,2018,Urban population (percent),42.1
234,2018,Capital city population (thousands),21
242,2005,Urban population (percent),49.9
242,2005,Urban population (percent growth rate per annum),1.1
242,2005,Rural population (percent growth rate per annum),-0.5
242,2010,Urban population (percent),52.2
242,2010,Urban population (percent growth rate per annum),1.8
242,2010,Rural population (percent growth rate per annum),0.0
242,2015,Urban population (percent),54.7
242,2015,Urban population (percent growth rate per annum),1.7
242,2015,Rural population (percent growth rate per annum),-0.4
242,2018,Urban population (percent),56.2
242,2018,Capital city population (thousands),178
246,2005,Urban population (percent),82.9
246,2005,Urban population (percent growth rate per annum),0.4
246,2005,Rural population (percent growth rate per annum),-0.6
246,2005,Capital city population (thousands),"1,067"
246,2005,Capital city population (as a percentage of total population),20.3
246,2005,Capital city population (as a percentage of total urban population),24.5
246,2010,Urban population (percent),83.8
246,2010,Urban population (percent growth rate per annum),0.6
246,2010,Rural population (percent growth rate per annum),-0.6
246,2010,Capital city population (thousands),"1,126"
246,2010,Capital city population (as a percentage of total population),21.0
246,2010,Capital city population (as a percentage of total urban population),25.1
246,2015,Urban population (percent),85.2
246,2015,Urban population (percent growth rate per annum),0.8
246,2015,Rural population (percent growth rate per annum),-1.5
246,2015,Capital city population (thousands),"1,222"
246,2015,Capital city population (as a percentage of total population),22.3
246,2015,Capital city population (as a percentage of total urban population),26.2
246,2018,Urban population (percent),85.4
246,2018,Capital city population (thousands),"1,279"
250,2005,Urban population (percent),77.1
250,2005,Urban population (percent growth rate per annum),0.9
250,2005,Rural population (percent growth rate per annum),-0.5
250,2005,Capital city population (thousands),"10,092"
250,2005,Capital city population (as a percentage of total population),16.5
250,2005,Capital city population (as a percentage of total urban population),21.4
250,2010,Urban population (percent),78.4
250,2010,Urban population (percent growth rate per annum),0.9
250,2010,Rural population (percent growth rate per annum),-0.5
250,2010,Capital city population (thousands),"10,460"
250,2010,Capital city population (as a percentage of total population),16.6
250,2010,Capital city population (as a percentage of total urban population),21.2
250,2015,Urban population (percent),79.7
250,2015,Urban population (percent growth rate per annum),0.8
250,2015,Rural population (percent growth rate per annum),-0.8
250,2015,Capital city population (thousands),"10,734"
250,2015,Capital city population (as a percentage of total population),16.7
250,2015,Capital city population (as a percentage of total urban population),20.9
250,2018,Urban population (percent),80.4
250,2018,Capital city population (thousands),"10,901"
254,2005,Urban population (percent),81.1
254,2005,Urban population (percent growth rate per annum),5.0
254,2005,Rural population (percent growth rate per annum),2.4
254,2010,Urban population (percent),82.9
254,2010,Urban population (percent growth rate per annum),3.2
254,2010,Rural population (percent growth rate per annum),0.8
254,2015,Urban population (percent),84.5
254,2015,Urban population (percent growth rate per annum),3.1
254,2015,Rural population (percent growth rate per annum),0.8
254,2018,Urban population (percent),85.3
254,2018,Capital city population (thousands),58
258,2005,Urban population (percent),57.4
258,2005,Urban population (percent growth rate per annum),1.9
258,2005,Rural population (percent growth rate per annum),0.8
258,2010,Urban population (percent),60.3
258,2010,Urban population (percent growth rate per annum),2.0
258,2010,Rural population (percent growth rate per annum),-0.4
258,2015,Urban population (percent),61.7
258,2015,Urban population (percent growth rate per annum),1.2
258,2015,Rural population (percent growth rate per annum),0.0
258,2018,Urban population (percent),61.8
258,2018,Capital city population (thousands),136
266,2005,Urban population (percent),82.5
266,2005,Urban population (percent growth rate per annum),3.5
266,2005,Rural population (percent growth rate per annum),-1.1
266,2005,Capital city population (thousands),563
266,2005,Capital city population (as a percentage of total population),40.1
266,2005,Capital city population (as a percentage of total urban population),48.7
266,2010,Urban population (percent),85.5
266,2010,Urban population (percent growth rate per annum),3.9
266,2010,Rural population (percent growth rate per annum),-0.7
266,2010,Capital city population (thousands),649
266,2010,Capital city population (as a percentage of total population),39.5
266,2010,Capital city population (as a percentage of total urban population),46.2
266,2015,Urban population (percent),88.1
266,2015,Urban population (percent growth rate per annum),3.9
266,2015,Rural population (percent growth rate per annum),-0.7
266,2015,Capital city population (thousands),747
266,2015,Capital city population (as a percentage of total population),38.7
266,2015,Capital city population (as a percentage of total urban population),43.9
266,2018,Urban population (percent),89.4
266,2018,Capital city population (thousands),813
270,2005,Urban population (percent),52.0
270,2005,Urban population (percent growth rate per annum),4.8
270,2005,Rural population (percent growth rate per annum),1.5
270,2005,Capital city population (thousands),368
270,2005,Capital city population (as a percentage of total population),25.5
270,2005,Capital city population (as a percentage of total urban population),49.0
270,2010,Urban population (percent),55.7
270,2010,Urban population (percent growth rate per annum),4.5
270,2010,Rural population (percent growth rate per annum),1.6
270,2010,Capital city population (thousands),393
270,2010,Capital city population (as a percentage of total population),23.3
270,2010,Capital city population (as a percentage of total urban population),41.8
270,2015,Urban population (percent),59.2
270,2015,Urban population (percent growth rate per annum),4.4
270,2015,Rural population (percent growth rate per annum),1.4
270,2015,Capital city population (thousands),420
270,2015,Capital city population (as a percentage of total population),21.3
270,2015,Capital city population (as a percentage of total urban population),35.9
270,2018,Urban population (percent),61.3
270,2018,Capital city population (thousands),437
268,2005,Urban population (percent),53.6
268,2005,Urban population (percent growth rate per annum),-0.7
268,2005,Rural population (percent growth rate per annum),-1.4
268,2005,Capital city population (thousands),"1,081"
268,2005,Capital city population (as a percentage of total population),24.1
268,2005,Capital city population (as a percentage of total urban population),44.9
268,2010,Urban population (percent),55.5
268,2010,Urban population (percent growth rate per annum),-0.5
268,2010,Rural population (percent growth rate per annum),-2.0
268,2010,Capital city population (thousands),"1,079"
268,2010,Capital city population (as a percentage of total population),25.5
268,2010,Capital city population (as a percentage of total urban population),45.9
268,2015,Urban population (percent),57.4
268,2015,Urban population (percent growth rate per annum),-0.7
268,2015,Rural population (percent growth rate per annum),-2.2
268,2015,Capital city population (thousands),"1,078"
268,2015,Capital city population (as a percentage of total population),27.3
268,2015,Capital city population (as a percentage of total urban population),47.5
268,2018,Urban population (percent),58.6
268,2018,Capital city population (thousands),"1,077"
276,2005,Urban population (percent),76.0
276,2005,Urban population (percent growth rate per annum),0.3
276,2005,Rural population (percent growth rate per annum),-0.8
276,2005,Capital city population (thousands),"3,391"
276,2005,Capital city population (as a percentage of total population),4.2
276,2005,Capital city population (as a percentage of total urban population),5.5
276,2010,Urban population (percent),77.0
276,2010,Urban population (percent growth rate per annum),0.1
276,2010,Rural population (percent growth rate per annum),-1.0
276,2010,Capital city population (thousands),"3,450"
276,2010,Capital city population (as a percentage of total population),4.3
276,2010,Capital city population (as a percentage of total urban population),5.5
276,2015,Urban population (percent),77.2
276,2015,Urban population (percent growth rate per annum),0.3
276,2015,Rural population (percent growth rate per annum),0.0
276,2015,Capital city population (thousands),"3,514"
276,2015,Capital city population (as a percentage of total population),4.3
276,2015,Capital city population (as a percentage of total urban population),5.6
276,2018,Urban population (percent),77.3
